code	ns	english	lang2term	Armenian	 
2894	Super groups	"SOCIAL ASPECTS, ENVIRONMENTAL POLICY MEASURES"	"СОЦИАЛЬНЫЕ АСПЕКТЫ, МЕРЫ ЭКОЛОГИЧЕСКОЙ ПОЛИТИКИ"	"ՍՈՑԻԱԼԱԿԱՆ ԲՆԱԳԱՎԱՌՆԵՐ, ԲԱՆԱՊԱՀՊԱՆԱԿԱՆ ՔԱՂԱՔԱԿԱՆՈՒԹՅԱՆ ՄԻՋՈՑՆԵՐ  "	
4044	Super groups	"HUMAN ACTIVITIES AND PRODUCTS, EFFECTS ON THE ENVIRONMENT"	"ДЕЯТЕЛЬНОСТЬ ЧЕЛОВЕКА И ЕЕ РЕЗУЛЬТАТЫ, ВОЗДЕЙСТВИЕ НА ОКРУЖАЮЩУЮ СРЕДУ"	"ՄԱՐԴՈՒ ԳՈՐԾՈՒՆԵՈՒԹՅՈՒՆԸ ԵՎ ԴՐԱ ԱՐԴՅՈՒՆՔՆԵՐԸ, ՇՐՋԱԿԱ ՄԻՋԱՎԱՅՐԻ ՎՐԱ ԱԶԴԵՑՈՒԹՅՈՒՆ "	
5306	Super groups	ACCESSORY LISTS	ВСПОМОГАТЕЛЬНЫЕ ТЕРМИНЫ	ՕԺԱՆԴԱԿ ՏԵՐՄԻՆՆԵՐ	 
5499	Super groups	"NATURAL ENVIRONMENT, ANTHROPIC ENVIRONMENT"	"ПРИРОДНАЯ СРЕДА, СРЕДА ОБИТАНИЯ ЧЕЛОВЕКА"	"ԲՆԱԿԱՆ ՄԻՋԱՎԱՅՐ, ՄԱՐԴՈՒՆ ՇՐՋԱՊԱՏՈՂ ՄԻՋԱՎԱՅՐ"	 
10111	Groups	"ENVIRONMENT (natural environment, anthropic environment)"	"ОКРУЖАЮЩАЯ СРЕДА (природная среда, среда обитания человека)"	"ՇՐՋԱԿԱ ՄԻՋԱՎԱՅՐ (բնական միրավայր, մարդուն շրջապատող միջավայր)"	 
10112	Groups	"PRODUCTS, MATERIALS"	"ПРОДУКТЫ, МАТЕРИАЛЫ"	"ԱՐՏԱԴՐԱՆՔ, ՆՅՈՒԹԵՐ"	 
10114	Groups	"EFFECTS, IMPACTS"	"ВОЗДЕЙСТВИЕ, ВЛИЯНИЕ"	"ՀԵՏԵՎԱՆՔՆԵՐ, ԱԶԴԵՑՈՒԹՅՈՒՆՆԵՐ "	 
10117	Groups	GENERAL TERMS	ОБЩИЕ ТЕРМИНЫ	ԸՆԴՀԱՆՈՒՐ ՏԵՐՄԻՆՆԵՐ	
10118	Groups	RESOURCES (utilisation of resources)	РЕСУРСЫ (использование ресурсов)	ՌԵՍՈՒՐՍՆԵՐ (ռեսուրսների օգտագործում)	
1062	Groups	"ANTHROPOSPHERE (built environment, human settlements, land setup)"	"АНТРОПОСФЕРА (созданная среда, населенные пункты, региональное планирование)"	"ՄԱՐԴԱԾԻՆ ՄԻՋԱՎԱՅՐ/ ԱՆԹՐՊՈՍՖԵՐԱ (մարդու կողմից ստեղծված շրջակա միջավայր, բնակավայրեր, հողերի տարածքային պլանավորում)"	
13109	Groups	ENVIRONMENTAL POLICY	ПОЛИТИКА В ОБЛАСТИ ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ	 ԲՆԱՊԱՀՊԱՆԱԿԱՆ ՔԱՂԱՔԱԿԱՆՈՒԹՅՈՒՆ (ԷԿՈԼՈԳԻԱԿԱՆ ՔԱՂԱՔԱԿԱՆՈՒԹՅՈՒՆ)	 
1349	Groups	"CHEMISTRY, SUBSTANCES, PROCESSES"	"ХИМИЯ, ВЕЩЕСТВА, ПРОЦЕССЫ"	"ՔԻՄԻԱ, ՆՅՈՒԹԵՐ, ՊՐՈՑԵՍՆԵՐ"	 
14979	Groups	TIME (chronology)	ВРЕМЯ (хронология)	ԺԱՄԱՆԱԿ (ժամանակագրություն)	
14980	Groups	FUNCTIONAL TERMS	ФУНКЦИОНАЛЬНЫЕ ТЕРМИНЫ	ԳՈՐԾԱՌՆԱԿԱՆ  (ՖՈՒՆԿՑԻՈՆԱԼ) ՏԵՐՄԻՆՆԵՐ	 
1922	Groups	"INFORMATION, EDUCATION, CULTURE, ENVIRONMENTAL AWARENESS"	"ИНФОРМАЦИЯ, ОБРАЗОВАНИЕ, КУЛЬТУРА, ИНФОРМИРОВАННОСТЬ ОБ ОКРУЖАЮЩЕЙ СРЕДЕ"	"ՏԵՂԵԿԱՏՎՈՒԹՅՈՒՆ, ԿՐԹՈՒԹՅՈՒՆ, ՄՇԱԿՈՒՅԹ, ԲՆԱՊԱՀՊԱՆԱԿԱՆ ԻՐԱԶԵԿՎԱԾՈՒԹՅՈՒՆ"	
234	Groups	"AGRICULTURE, FORESTRY; ANIMAL HUSBANDRY; FISHERY"	"СЕЛЬСКОЕ ХОЗЯЙСТВО, ЛЕСНОЕ ХОЗЯЙСТВО, ЖИВОТНОВОДСТВО, РЫБНОЕ ХОЗЯЙСТВО"	"ԳՅՈՒՂԱՏՆՏԵՍՈՒԹՅՈՒՆ, ԱՆՏԱՌԱՅԻՆ ՏՆՏԵՍՈՒԹՅՈՒՆ, ԱՆԱՍՆԱԲՈՒԾՈՒԹՅՈՒՆ, ՁԿՆԱԲՈՒԾՈՒԹՅՈՒՆ"	
2504	Groups	"ECONOMICS, FINANCE"	"ЭКОНОМИКА, ФИНАНСЫ"	"ԷԿՈՆՈՄԻԿԱ, ՖԻՆԱՆՍՆԵՐ"	
2711	Groups	ENERGY	ЭНЕРГИЯ	ԷՆԵՐԳԻԱ	
3875	Groups	"HEALTH, NUTRITION"	"ЗДОРОВЬЕ, ПИТАНИЕ"	"ԱՌՈՂՋՈՒԹՅՈՒՆ, ՍՆՈՒՆԴ"	
4125	Groups	"HYDROSPHERE (freshwater, marine water, waters)"	"ГИДРОСФЕРА (пресная вода, морская вода, водные ресурсы)"	"ՋՐՈԼՈՐՏ/ ՀԻԴՐՈՍՖԵՐԱ ( քաղցրահամ ջուր, ծովի ջուր, ջրային ռեսուրսներ)"	
4281	Groups	"INDUSTRY, CRAFTS; TECHNOLOGY; EQUIPMENTS"	"ПРОМЫШЛЕННОСТЬ, РЕМЕСЛА, ТЕХНОЛОГИИ, ОБОРУДОВАНИЕ"	"ԱՐԴՅՈՒՆԱԲԵՐՈՒԹՅՈՒՆ, ԱՐՀԵՍՏԱԳՈՐԾՈՒԹՅՈՒՆ. ՏԵԽՆՈԼՈԳԻԱ, ՍԱՐՔԱՎՈՐՈՒՄՆԵՐ"	
4630	Groups	"LAND (landscape, geography)"	"ЗЕМЛЯ (ландшафт, география)"	"ՀՈՂ (լանդշաֆտ, աշխարհագրություն)"	
4750	Groups	"LEGISLATION, NORMS, CONVENTIONS"	"ЗАКОНОДАТЕЛЬСТВО, НОРМЫ, КОНВЕНЦИИ"	"ՕՐԵՆՍԴՐՈՒԹՅՈՒՆ, ՆՈՐՄԵՐ, ԿՈՆՎԵՆՑԻԱՆԵՐ"	
4856	Groups	"LITHOSPHERE (soil, geological processes)"	"ЛИТОСФЕРА (почва, геологические процессы)"	"ԼԻԹՈՍՖԵՐԱ (հող, երկրաբանական պրոցեսները)"	 
618	Groups	"ATMOSPHERE (air, climate)"	"АТМОСФЕРА (воздух, климат)"	"ՄԹՆՈԼՈՐՏ/ ԱՏՄՈՍՖԵՐԱ (օդ, կլիմա)"	
6237	Groups	"PHYSICAL ASPECTS, NOISE, VIBRATIONS, RADIATIONS"	"ФИЗИЧЕСКИЕ АСПЕКТЫ, ШУМ, ВИБРАЦИЯ, РАДИАЦИЯ"	"ՖԻԶԻԿԱԿԱՆ ՆԵՐԳՈՐԾՈՒԹՅՈՒՆՆԵՐԻ ԲՆԱԳԱՎԱՌՆԵՐ` ԱՂՄՈՒԿ, ԹՐԹՌԱՆՔ, ՃԱՌԱԳԱՅԹՈՒՄ"	
7007	Groups	"RECREATION, TOURISM"	"ОТДЫХ, ТУРИЗМ"	"ՌԵԿՐԵԱՑԻԱ, ՏՈՒՐԻԶՄ"	 
7136	Groups	"RESEARCH, SCIENCES"	"ИССЛЕДОВАНИЯ, НАУКА"	"ՀԵՏԱԶՈՏՈՒԹՅՈՒՆՆԵՐ, ԳԻՏՈՒԹՅՈՒՆ"	 
7243	Groups	"RISKS, SAFETY"	"РИСКИ, БЕЗОПАСНОСТЬ"	"ՌԻՍԿԵՐ, ԱՆՎՏԱՆԳՈՒԹՅՈՒՆ"	
7779	Groups	SOCIETY	ОБЩЕСТВО	ՀԱՍԱՐԱԿՈՒԹՅՈՒՆ	
7956	Groups	SPACE	КОСМОС	ՏԻԵԶԵՐՔ	 
8575	Groups	"TRADE, SERVICES"	"ТОРГОВЛЯ, УСЛУГИ"	"ԱՌԵՎՏՈՒՐ,  ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ"	
8603	Groups	"TRAFFIC, TRANSPORTATION"	"ДОРОЖНОЕ ДВИЖЕНИЕ, ТРАНСПОРТ"	"ՃԱՆԱՊԱՐՀԱՅԻՆ ԵՐԹԵՎԵԿՈՒԹՅՈՒՆ, ՏՐԱՆՍՊՈՐՏ"	 
893	Groups	"BIOSPHERE (organisms, ecosystems)"	"БИОСФЕРА (организмы, экосистемы)"	"ԿԵՆՍՈԼՈՐՏ/ ԲԻՈՍՖԵՐԱ (օրգանիզմներ, էկոհամակարգեր)"	 
9117	Groups	"WASTES, POLLUTANTS, POLLUTION"	"ОТХОДЫ, ЗАГРЯЗНЯЮЩИЕ ВЕЩЕСТВА, ЗАГРЯЗНЕНИЕ"	"ԹԱՓՈՆՆԵՐ, ԱՂՏՈՏԻՉՆԵՐ, ԱՂՏՈՏՈՒՄ"	 
96	Groups	"ADMINISTRATION, MANAGEMENT, POLICY, POLITICS, INSTITUTIONS, PLANNING"	"АДМИНИСТРАЦИЯ, УПРАВЛЕНИЕ, ПОЛИТИКА, ОРГАНЫ, ПЛАНИРОВАНИЕ"	"ՎԱՐՉԱԿԱԶՄ, ԿԱՌԱՎԱՐՈՒՄ, ՔԱՂԱՔԱԿԱՆՈՒԹՅՈՒՆ, ՔԱՂԱՔԱԿԱՆ ԿՅԱՆՔ, ՄԱՐՄԻՆՆԵՐ, ՊԼԱՆԱՎՈՐՈՒՄ"	 
1	Themes	administration	администрация	վարչակազմ 	
10	Themes	energy	энергия	էներգիա	
11	Themes	environmental policy	экологическая политика	էկոլոգիական քաղաքականություն	
12	Themes	fishery	рыболовство	ձկնորսություն	
13	Themes	"food, drinking water"	"продукты питания, питьевая вода"	"սննդամթերք, խմելու ջուր"	 
14	Themes	forestry	лесное хозяйство	անտառային տնտեսություն	
15	Themes	general	общее	ընդհանուր	
16	Themes	geography	география	աշխարհագրություն	
17	Themes	human health	здоровье человека	մարդու առողջություն	
18	Themes	animal husbandry	животноводство	անասնաբուծություն	
19	Themes	industry	промышленность	արդյունաբերություն 	
2	Themes	agriculture	сельское хозяйство	գյուղատնտեսություն 	
20	Themes	information	информация	տեղեկատվություն 	
21	Themes	legislation	законодательство	օրենսդրություն 	
22	Themes	military aspects	военные аспекты	ռազմական բնագավառներ	 
23	Themes	"natural areas, landscape, ecosystems"	"природные зоны, ландшафт, экосистемы"	"բնական տարածքներ, լանդշաֆտ, էկոհամակարգեր"	 
24	Themes	"noise, vibrations"	"шум, вибрация"	"աղմուկ, թրթռանք"	
25	Themes	physics	физика	ֆիզիկա 	
26	Themes	pollution	загрязнение	աղտոտում	
27	Themes	materials	материалы	նյութեր	
28	Themes	radiations	излучение	ճառագայթում	
29	Themes	tourism	туризм	տուրիզմ	
3	Themes	air	воздух	մթնոլորտ  	
30	Themes	research	исследования	հետազոտություններ	
31	Themes	resources	ресурсы	ռեսուրսներ  	
32	Themes	"disasters, accidents, risk"	"бедствия, аварии, риск"	"աղետներ, վթարներ, ռիսկեր"	
33	Themes	"trade, services"	"торговля, услуги"	"առևտուր, ծառայություններ"	
34	Themes	"social aspects, population"	"социальные аспекты, население"	"սոցիալական բնագավառներ, բնակչություն"	 
35	Themes	soil	почва	հող  	
36	Themes	space	космос	տիեզերք	 
37	Themes	transport	транспорт	տրանսպորտ	
38	Themes	"urban environment, urban stress"	"городская среда, неблагоприятные факторы в условиях города"	"քաղաքային շրջակա միջավայր, քաղաքային միջավայրի  անբարենպաստ գործոններ  "	    
39	Themes	waste	отходы	թափոններ 	
4	Themes	biology	биология	կենսաբանություն	
40	Themes	water	вода	ջուր	
5	Themes	building	строительство	"շենք, շինություն"	 
6	Themes	chemistry	химия	քիմիա 	
7	Themes	climate	климат	կլիմա	
8	Themes	natural dynamics	природная динамика	բնական ընթացաշարժ (դինամիկա)	 
9	Themes	economics	экономика	էկոնոմիկա 	 
